state,year,gini
Johor,1974,0.439
Johor,1975,
Johor,1976,0.469
Johor,1977,
Johor,1978,
Johor,1979,0.442
Johor,1980,
Johor,1981,
Johor,1982,
Johor,1983,
Johor,1984,0.404
Johor,1985,
Johor,1986,
Johor,1987,0.386
Johor,1988,
Johor,1989,0.381
Johor,1990,
Johor,1991,
Johor,1992,0.423
Johor,1993,
Johor,1994,
Johor,1995,0.399
Johor,1996,
Johor,1997,0.397
Johor,1998,
Johor,1999,0.386
Johor,2000,
Johor,2001,
Johor,2002,0.408
Johor,2003,
Johor,2004,0.395
Johor,2005,
Johor,2006,
Johor,2007,0.368
Johor,2008,
Johor,2009,0.393
Johor,2010,
Johor,2011,
Johor,2012,0.383
Johor,2013,
Johor,2014,0.324
Johor,2015,
Johor,2016,0.354
Johor,2017,
Johor,2018,
Johor,2019,0.366
Johor,2020,
Johor,2021,
Johor,2022,0.366
Kedah,1974,0.523
Kedah,1975,
Kedah,1976,0.497
Kedah,1977,
Kedah,1978,
Kedah,1979,0.468
Kedah,1980,
Kedah,1981,
Kedah,1982,
Kedah,1983,
Kedah,1984,0.476
Kedah,1985,
Kedah,1986,
Kedah,1987,0.434
Kedah,1988,
Kedah,1989,0.428
Kedah,1990,
Kedah,1991,
Kedah,1992,0.433
Kedah,1993,
Kedah,1994,
Kedah,1995,0.406
Kedah,1996,
Kedah,1997,0.429
Kedah,1998,
Kedah,1999,0.409
Kedah,2000,
Kedah,2001,
Kedah,2002,0.426
Kedah,2003,
Kedah,2004,0.387
Kedah,2005,
Kedah,2006,
Kedah,2007,0.392
Kedah,2008,
Kedah,2009,0.408
Kedah,2010,
Kedah,2011,
Kedah,2012,0.391
Kedah,2013,
Kedah,2014,0.365
Kedah,2015,
Kedah,2016,0.393
Kedah,2017,
Kedah,2018,
Kedah,2019,0.354
Kedah,2020,
Kedah,2021,
Kedah,2022,0.359
Kelantan,1974,0.612
Kelantan,1975,
Kelantan,1976,0.505
Kelantan,1977,
Kelantan,1978,
Kelantan,1979,0.438
Kelantan,1980,
Kelantan,1981,
Kelantan,1982,
Kelantan,1983,
Kelantan,1984,0.464
Kelantan,1985,
Kelantan,1986,
Kelantan,1987,0.414
Kelantan,1988,
Kelantan,1989,0.407
Kelantan,1990,
Kelantan,1991,
Kelantan,1992,0.451
Kelantan,1993,
Kelantan,1994,
Kelantan,1995,0.442
Kelantan,1996,
Kelantan,1997,0.442
Kelantan,1998,
Kelantan,1999,0.424
Kelantan,2000,
Kelantan,2001,
Kelantan,2002,0.444
Kelantan,2003,
Kelantan,2004,0.416
Kelantan,2005,
Kelantan,2006,
Kelantan,2007,0.405
Kelantan,2008,
Kelantan,2009,0.428
Kelantan,2010,
Kelantan,2011,
Kelantan,2012,0.41
Kelantan,2013,
Kelantan,2014,0.393
Kelantan,2015,
Kelantan,2016,0.389
Kelantan,2017,
Kelantan,2018,
Kelantan,2019,0.378
Kelantan,2020,
Kelantan,2021,
Kelantan,2022,0.385
Melaka,1974,0.506
Melaka,1975,
Melaka,1976,0.558
Melaka,1977,
Melaka,1978,
Melaka,1979,0.472
Melaka,1980,
Melaka,1981,
Melaka,1982,
Melaka,1983,
Melaka,1984,0.438
Melaka,1985,
Melaka,1986,
Melaka,1987,0.403
Melaka,1988,
Melaka,1989,0.396
Melaka,1990,
Melaka,1991,
Melaka,1992,0.397
Melaka,1993,
Melaka,1994,
Melaka,1995,0.399
Melaka,1996,
Melaka,1997,0.371
Melaka,1998,
Melaka,1999,0.399
Melaka,2000,
Melaka,2001,
Melaka,2002,0.386
Melaka,2003,
Melaka,2004,0.352
Melaka,2005,
Melaka,2006,
Melaka,2007,0.38
Melaka,2008,
Melaka,2009,0.411
Melaka,2010,
Melaka,2011,
Melaka,2012,0.355
Melaka,2013,
Melaka,2014,0.316
Melaka,2015,
Melaka,2016,0.337
Melaka,2017,
Melaka,2018,
Melaka,2019,0.383
Melaka,2020,
Melaka,2021,
Melaka,2022,0.37
NegeriSembilan,1974,0.465
NegeriSembilan,1975,
NegeriSembilan,1976,0.49
NegeriSembilan,1977,
NegeriSembilan,1978,
NegeriSembilan,1979,0.432
NegeriSembilan,1980,
NegeriSembilan,1981,
NegeriSembilan,1982,
NegeriSembilan,1983,
NegeriSembilan,1984,0.422
NegeriSembilan,1985,
NegeriSembilan,1986,
NegeriSembilan,1987,0.431
NegeriSembilan,1988,
NegeriSembilan,1989,0.366
NegeriSembilan,1990,
NegeriSembilan,1991,
NegeriSembilan,1992,0.406
NegeriSembilan,1993,
NegeriSembilan,1994,
NegeriSembilan,1995,0.384
NegeriSembilan,1996,
NegeriSembilan,1997,0.408
NegeriSembilan,1998,
NegeriSembilan,1999,0.392
NegeriSembilan,2000,
NegeriSembilan,2001,
NegeriSembilan,2002,0.401
NegeriSembilan,2003,
NegeriSembilan,2004,0.38
NegeriSembilan,2005,
NegeriSembilan,2006,
NegeriSembilan,2007,0.385
NegeriSembilan,2008,
NegeriSembilan,2009,0.372
NegeriSembilan,2010,
NegeriSembilan,2011,
NegeriSembilan,2012,0.382
NegeriSembilan,2013,
NegeriSembilan,2014,0.361
NegeriSembilan,2015,
NegeriSembilan,2016,0.38
NegeriSembilan,2017,
NegeriSembilan,2018,
NegeriSembilan,2019,0.391
NegeriSembilan,2020,
NegeriSembilan,2021,
NegeriSembilan,2022,0.369
Pahang,1974,0.445
Pahang,1975,
Pahang,1976,0.384
Pahang,1977,
Pahang,1978,
Pahang,1979,0.478
Pahang,1980,
Pahang,1981,
Pahang,1982,
Pahang,1983,
Pahang,1984,0.416
Pahang,1985,
Pahang,1986,
Pahang,1987,0.372
Pahang,1988,
Pahang,1989,0.35
Pahang,1990,
Pahang,1991,
Pahang,1992,0.369
Pahang,1993,
Pahang,1994,
Pahang,1995,0.373
Pahang,1996,
Pahang,1997,0.359
Pahang,1998,
Pahang,1999,0.332
Pahang,2000,
Pahang,2001,
Pahang,2002,0.404
Pahang,2003,
Pahang,2004,0.389
Pahang,2005,
Pahang,2006,
Pahang,2007,0.38
Pahang,2008,
Pahang,2009,0.382
Pahang,2010,
Pahang,2011,
Pahang,2012,0.354
Pahang,2013,
Pahang,2014,0.36
Pahang,2015,
Pahang,2016,0.324
Pahang,2017,
Pahang,2018,
Pahang,2019,0.33
Pahang,2020,
Pahang,2021,
Pahang,2022,0.308
Perak,1974,0.452
Perak,1975,
Perak,1976,0.525
Perak,1977,
Perak,1978,
Perak,1979,0.447
Perak,1980,
Perak,1981,
Perak,1982,
Perak,1983,
Perak,1984,0.428
Perak,1985,
Perak,1986,
Perak,1987,0.41
Perak,1988,
Perak,1989,0.421
Perak,1990,
Perak,1991,
Perak,1992,0.399
Perak,1993,
Perak,1994,
Perak,1995,0.397
Perak,1996,
Perak,1997,0.381
Perak,1998,
Perak,1999,0.387
Perak,2000,
Perak,2001,
Perak,2002,0.417
Perak,2003,
Perak,2004,0.393
Perak,2005,
Perak,2006,
Perak,2007,0.399
Perak,2008,
Perak,2009,0.4
Perak,2010,
Perak,2011,
Perak,2012,0.417
Perak,2013,
Perak,2014,0.366
Perak,2015,
Perak,2016,0.362
Perak,2017,
Perak,2018,
Perak,2019,0.377
Perak,2020,
Perak,2021,
Perak,2022,0.368
Perlis,1974,0.425
Perlis,1975,
Perlis,1976,0.498
Perlis,1977,
Perlis,1978,
Perlis,1979,0.44
Perlis,1980,
Perlis,1981,
Perlis,1982,
Perlis,1983,
Perlis,1984,0.459
Perlis,1985,
Perlis,1986,
Perlis,1987,0.408
Perlis,1988,
Perlis,1989,0.377
Perlis,1990,
Perlis,1991,
Perlis,1992,0.415
Perlis,1993,
Perlis,1994,
Perlis,1995,0.379
Perlis,1996,
Perlis,1997,0.412
Perlis,1998,
Perlis,1999,0.394
Perlis,2000,
Perlis,2001,
Perlis,2002,0.437
Perlis,2003,
Perlis,2004,0.423
Perlis,2005,
Perlis,2006,
Perlis,2007,0.454
Perlis,2008,
Perlis,2009,0.434
Perlis,2010,
Perlis,2011,
Perlis,2012,0.455
Perlis,2013,
Perlis,2014,0.346
Perlis,2015,
Perlis,2016,0.327
Perlis,2017,
Perlis,2018,
Perlis,2019,0.334
Perlis,2020,
Perlis,2021,
Perlis,2022,0.336
PulauPinang,1974,0.597
PulauPinang,1975,
PulauPinang,1976,0.608
PulauPinang,1977,
PulauPinang,1978,
PulauPinang,1979,0.492
PulauPinang,1980,
PulauPinang,1981,
PulauPinang,1982,
PulauPinang,1983,
PulauPinang,1984,0.452
PulauPinang,1985,
PulauPinang,1986,
PulauPinang,1987,0.422
PulauPinang,1988,
PulauPinang,1989,0.406
PulauPinang,1990,
PulauPinang,1991,
PulauPinang,1992,0.412
PulauPinang,1993,
PulauPinang,1994,
PulauPinang,1995,0.405
PulauPinang,1996,
PulauPinang,1997,0.398
PulauPinang,1998,
PulauPinang,1999,0.399
PulauPinang,2000,
PulauPinang,2001,
PulauPinang,2002,0.435
PulauPinang,2003,
PulauPinang,2004,0.398
PulauPinang,2005,
PulauPinang,2006,
PulauPinang,2007,0.411
PulauPinang,2008,
PulauPinang,2009,0.419
PulauPinang,2010,
PulauPinang,2011,
PulauPinang,2012,0.37
PulauPinang,2013,
PulauPinang,2014,0.364
PulauPinang,2015,
PulauPinang,2016,0.356
PulauPinang,2017,
PulauPinang,2018,
PulauPinang,2019,0.359
PulauPinang,2020,
PulauPinang,2021,
PulauPinang,2022,0.371
Sabah,1974,
Sabah,1975,
Sabah,1976,
Sabah,1977,
Sabah,1978,
Sabah,1979,0.49
Sabah,1980,
Sabah,1981,
Sabah,1982,
Sabah,1983,
Sabah,1984,0.491
Sabah,1985,
Sabah,1986,
Sabah,1987,0.467
Sabah,1988,
Sabah,1989,0.459
Sabah,1990,
Sabah,1991,
Sabah,1992,0.468
Sabah,1993,
Sabah,1994,
Sabah,1995,0.448
Sabah,1996,
Sabah,1997,0.454
Sabah,1998,
Sabah,1999,0.448
Sabah,2000,
Sabah,2001,
Sabah,2002,0.465
Sabah,2003,
Sabah,2004,0.477
Sabah,2005,
Sabah,2006,
Sabah,2007,0.451
Sabah,2008,
Sabah,2009,0.454
Sabah,2010,
Sabah,2011,
Sabah,2012,0.427
Sabah,2013,
Sabah,2014,0.387
Sabah,2015,
Sabah,2016,0.402
Sabah,2017,
Sabah,2018,
Sabah,2019,0.397
Sabah,2020,
Sabah,2021,
Sabah,2022,0.395
Sarawak,1974,
Sarawak,1975,
Sarawak,1976,
Sarawak,1977,
Sarawak,1978,
Sarawak,1979,0.501
Sarawak,1980,
Sarawak,1981,
Sarawak,1982,
Sarawak,1983,
Sarawak,1984,0.498
Sarawak,1985,
Sarawak,1986,
Sarawak,1987,0.465
Sarawak,1988,
Sarawak,1989,0.441
Sarawak,1990,
Sarawak,1991,
Sarawak,1992,0.467
Sarawak,1993,
Sarawak,1994,
Sarawak,1995,0.44
Sarawak,1996,
Sarawak,1997,0.447
Sarawak,1998,
Sarawak,1999,0.407
Sarawak,2000,
Sarawak,2001,
Sarawak,2002,0.445
Sarawak,2003,
Sarawak,2004,0.44
Sarawak,2005,
Sarawak,2006,
Sarawak,2007,0.442
Sarawak,2008,
Sarawak,2009,0.448
Sarawak,2010,
Sarawak,2011,
Sarawak,2012,0.44
Sarawak,2013,
Sarawak,2014,0.391
Sarawak,2015,
Sarawak,2016,0.386
Sarawak,2017,
Sarawak,2018,
Sarawak,2019,0.387
Sarawak,2020,
Sarawak,2021,
Sarawak,2022,0.382
Selangor,1974,0.507
Selangor,1975,
Selangor,1976,0.516
Selangor,1977,
Selangor,1978,
Selangor,1979,0.505
Selangor,1980,
Selangor,1981,
Selangor,1982,
Selangor,1983,
Selangor,1984,0.481
Selangor,1985,
Selangor,1986,
Selangor,1987,0.462
Selangor,1988,
Selangor,1989,0.444
Selangor,1990,
Selangor,1991,
Selangor,1992,0.446
Selangor,1993,
Selangor,1994,
Selangor,1995,0.424
Selangor,1996,
Selangor,1997,0.409
Selangor,1998,
Selangor,1999,0.394
Selangor,2000,
Selangor,2001,
Selangor,2002,0.423
Selangor,2003,
Selangor,2004,0.443
Selangor,2005,
Selangor,2006,
Selangor,2007,0.418
Selangor,2008,
Selangor,2009,0.424
Selangor,2010,
Selangor,2011,
Selangor,2012,0.396
Selangor,2013,
Selangor,2014,0.379
Selangor,2015,
Selangor,2016,0.372
Selangor,2017,
Selangor,2018,
Selangor,2019,0.393
Selangor,2020,
Selangor,2021,
Selangor,2022,0.361
Terengganu,1974,0.502
Terengganu,1975,
Terengganu,1976,0.482
Terengganu,1977,
Terengganu,1978,
Terengganu,1979,0.458
Terengganu,1980,
Terengganu,1981,
Terengganu,1982,
Terengganu,1983,
Terengganu,1984,0.461
Terengganu,1985,
Terengganu,1986,
Terengganu,1987,0.478
Terengganu,1988,
Terengganu,1989,0.459
Terengganu,1990,
Terengganu,1991,
Terengganu,1992,0.448
Terengganu,1993,
Terengganu,1994,
Terengganu,1995,0.464
Terengganu,1996,
Terengganu,1997,0.466
Terengganu,1998,
Terengganu,1999,0.44
Terengganu,2000,
Terengganu,2001,
Terengganu,2002,0.424
Terengganu,2003,
Terengganu,2004,0.443
Terengganu,2005,
Terengganu,2006,
Terengganu,2007,0.399
Terengganu,2008,
Terengganu,2009,0.418
Terengganu,2010,
Terengganu,2011,
Terengganu,2012,0.426
Terengganu,2013,
Terengganu,2014,0.36
Terengganu,2015,
Terengganu,2016,0.328
Terengganu,2017,
Terengganu,2018,
Terengganu,2019,0.335
Terengganu,2020,
Terengganu,2021,
Terengganu,2022,0.326
KualaLumpur,1974,
KualaLumpur,1975,
KualaLumpur,1976,
KualaLumpur,1977,
KualaLumpur,1978,
KualaLumpur,1979,
KualaLumpur,1980,
KualaLumpur,1981,
KualaLumpur,1982,
KualaLumpur,1983,
KualaLumpur,1984,0.486
KualaLumpur,1985,
KualaLumpur,1986,
KualaLumpur,1987,0.465
KualaLumpur,1988,
KualaLumpur,1989,0.428
KualaLumpur,1990,
KualaLumpur,1991,
KualaLumpur,1992,0.443
KualaLumpur,1993,
KualaLumpur,1994,
KualaLumpur,1995,0.423
KualaLumpur,1996,
KualaLumpur,1997,0.417
KualaLumpur,1998,
KualaLumpur,1999,0.414
KualaLumpur,2000,
KualaLumpur,2001,
KualaLumpur,2002,0.448
KualaLumpur,2003,
KualaLumpur,2004,0.467
KualaLumpur,2005,
KualaLumpur,2006,
KualaLumpur,2007,0.446
KualaLumpur,2008,
KualaLumpur,2009,0.374
KualaLumpur,2010,
KualaLumpur,2011,
KualaLumpur,2012,0.442
KualaLumpur,2013,
KualaLumpur,2014,0.407
KualaLumpur,2015,
KualaLumpur,2016,0.378
KualaLumpur,2017,
KualaLumpur,2018,
KualaLumpur,2019,0.35
KualaLumpur,2020,
KualaLumpur,2021,
KualaLumpur,2022,0.38
Labuan,1974,
Labuan,1975,
Labuan,1976,
Labuan,1977,
Labuan,1978,
Labuan,1979,
Labuan,1980,
Labuan,1981,
Labuan,1982,
Labuan,1983,
Labuan,1984,
Labuan,1985,
Labuan,1986,
Labuan,1987,
Labuan,1988,
Labuan,1989,
Labuan,1990,
Labuan,1991,
Labuan,1992,
Labuan,1993,
Labuan,1994,
Labuan,1995,
Labuan,1996,
Labuan,1997,
Labuan,1998,
Labuan,1999,
Labuan,2000,
Labuan,2001,
Labuan,2002,
Labuan,2003,
Labuan,2004,
Labuan,2005,
Labuan,2006,
Labuan,2007,0.388
Labuan,2008,
Labuan,2009,0.387
Labuan,2010,
Labuan,2011,
Labuan,2012,0.383
Labuan,2013,
Labuan,2014,0.385
Labuan,2015,
Labuan,2016,0.398
Labuan,2017,
Labuan,2018,
Labuan,2019,0.333
Labuan,2020,
Labuan,2021,
Labuan,2022,0.3
Putrajaya,1974,
Putrajaya,1975,
Putrajaya,1976,
Putrajaya,1977,
Putrajaya,1978,
Putrajaya,1979,
Putrajaya,1980,
Putrajaya,1981,
Putrajaya,1982,
Putrajaya,1983,
Putrajaya,1984,
Putrajaya,1985,
Putrajaya,1986,
Putrajaya,1987,
Putrajaya,1988,
Putrajaya,1989,
Putrajaya,1990,
Putrajaya,1991,
Putrajaya,1992,
Putrajaya,1993,
Putrajaya,1994,
Putrajaya,1995,
Putrajaya,1996,
Putrajaya,1997,
Putrajaya,1998,
Putrajaya,1999,
Putrajaya,2000,
Putrajaya,2001,
Putrajaya,2002,
Putrajaya,2003,
Putrajaya,2004,
Putrajaya,2005,
Putrajaya,2006,
Putrajaya,2007,0.362
Putrajaya,2008,
Putrajaya,2009,0.342
Putrajaya,2010,
Putrajaya,2011,
Putrajaya,2012,0.305
Putrajaya,2013,
Putrajaya,2014,0.374
Putrajaya,2015,
Putrajaya,2016,0.369
Putrajaya,2017,
Putrajaya,2018,
Putrajaya,2019,0.361
Putrajaya,2020,
Putrajaya,2021,
Putrajaya,2022,0.368
